condition,id,task,pass,fail_bits,n_read,n_grep,n_write,n_strreplace,n_shell,files_read,hit_4_cribs,hit_advanced_docs,wrote_paths,notes
none,P1,播放画中画,,,,,,,,,,,,,,
none,P2,通话画中画,,,,,,,,,,,,,,
none,P3,会议画中画,,,,,,,,,,,,,,
none,P4,直播画中画,,,,,,,,,,,,,,
none,W1,圆角闪控窗,,,,,,,,,,,,,,
none,W2,横条闪控窗,,,,,,,,,,,,,,
none,B1,EMPHATIC球,,,,,,,,,,,,,,
none,B2,NORMAL球,,,,,,,,,,,,,,
none,B3,SIMPLE球,,,,,,,,,,,,,,
none,B4,STATIC球,,,,,,,,,,,,,,
none,A1,球窗互切,,,,,,,,,,,,,,
none,A2,闪控窗防窥,,,,,,,,,,,,,,
skill,P1,播放画中画,,,,,,,,,,,,,,
skill,P2,通话画中画,,,,,,,,,,,,,,
skill,P3,会议画中画,,,,,,,,,,,,,,
skill,P4,直播画中画,,,,,,,,,,,,,,
skill,W1,圆角闪控窗,,,,,,,,,,,,,,
skill,W2,横条闪控窗,,,,,,,,,,,,,,
skill,B1,EMPHATIC球,,,,,,,,,,,,,,
skill,B2,NORMAL球,,,,,,,,,,,,,,
skill,B3,SIMPLE球,,,,,,,,,,,,,,
skill,B4,STATIC球,,,,,,,,,,,,,,
skill,A1,球窗互切,,,,,,,,,,,,,,
skill,A2,闪控窗防窥,,,,,,,,,,,,,,
